Day,Date,Actual_Price,CRR_Simulation,Empirical_Simulation,CRR_Error,Empirical_Error
0,2025-05-22,1702.0863037109375,1650.5079345703125,1650.5079345703125,-51.578369140625,-51.578369140625
1,2025-05-23,1673.95263671875,1650.9007265597268,1647.2849202998639,-23.051910159023237,-26.66771641888613
2,2025-05-26,1655.19677734375,1650.8027179182448,1643.9862883494307,-4.394059425505247,-11.210488994319348
3,2025-05-27,1631.7520751953125,1650.8992740191973,1641.0235736329296,19.147198823884764,9.271498437617083
4,2025-05-28,1622.374267578125,1651.5314536889302,1638.5470882403608,29.15718611080524,16.172820662235836
5,2025-06-02,1622.374267578125,1651.8968271148685,1635.653360530694,29.52255953674353,13.279092952569044
6,2025-06-03,1584.8626708984375,1652.4455798418592,1632.6364539934316,67.58290894342167,47.77378309499409
7,2025-06-04,1542.6622314453125,1652.553277553925,1629.547048676603,109.8910461086125,86.88481723129053
8,2025-06-05,1523.906494140625,1653.294865961957,1626.9339644333693,129.38837182133193,103.02747029274428
9,2025-06-10,1519.217529296875,1654.2942215662756,1623.9436586193829,135.0766922694006,104.72612932250786
10,2025-06-11,1514.528564453125,1654.4593899660813,1621.1314900964737,139.9308255129563,106.60292564334873
11,2025-06-12,1523.906494140625,1654.9141454500739,1617.7611984482164,131.00765130944887,93.85470430759142
12,2025-06-13,1462.9501953125,1655.5159959542677,1615.0849116741254,192.56580064176774,152.13471636162535
13,2025-06-16,1450.3802490234375,1655.927294347807,1611.9373497353038,205.5470453243695,161.55710071186627
14,2025-06-17,1431.041748046875,1656.0648826953397,1608.8129191489513,225.02313464846475,177.77117110207632
15,2025-06-18,1421.37255859375,1655.7581766704102,1605.735288706674,234.3856180766602,184.36273011292405
16,2025-06-19,1402.0341796875,1656.8219470528481,1602.8065683824402,254.78776736534815,200.77238869494022
17,2025-06-20,1334.3497314453125,1656.6453124116636,1600.3160289347504,322.29558096635105,265.9662974894379
18,2025-06-23,1319.845947265625,1656.6570563252887,1597.2173740515154,336.81110905966375,277.37142678589043
19,2025-06-24,1397.1995849609375,1656.0118707202955,1594.2096015001134,258.812285759358,197.01001653917592
20,2025-06-25,1406.8687744140625,1656.4557641961308,1591.718081081745,249.58698978206826,184.8493066676824
21,2025-06-26,1411.703369140625,1656.6795804046958,1588.576341519454,244.9762112640708,176.872972378829
22,2025-06-30,1402.0341796875,1657.6893681259357,1585.8802059707962,255.65518843843574,183.84602628329617
23,2025-07-01,1421.37255859375,1657.6819504947696,1583.740336562391,236.30939190101958,162.3677779686409
24,2025-07-02,1421.37255859375,1658.2007636216222,1580.6134987652335,236.82820502787217,159.24094017148354
25,2025-07-03,1542.2376708984375,1658.5209487957063,1577.5676686178197,116.28327789726882,35.32999771938216
26,2025-07-04,1493.8916015625,1659.2323427478627,1574.7945435484094,165.34074118536273,80.90294198590937
27,2025-07-07,1508.3953857421875,1659.241962142453,1571.7326780645485,150.84657640026558,63.33729232236101
28,2025-07-08,1469.7186279296875,1660.379020856665,1569.4253549594798,190.66039292697747,99.70672702979232
29,2025-07-09,1464.884033203125,1660.2790618763809,1566.2877992387382,195.39502867325587,101.40376603561322
30,2025-07-10,1527.7337646484375,1661.152973219961,1563.694958321462,133.41920857152354,35.96119367302458
31,2025-07-11,1522.899169921875,1661.3399582339323,1560.6546241193178,138.4407883120573,37.75545419744276
32,2025-07-14,1522.899169921875,1662.8020205213354,1557.8910144363745,139.9028505994604,34.99184451449946
33,2025-07-15,1518.0645751953125,1662.8910758543623,1555.1596611247958,144.82650065904977,37.095085929483275
34,2025-07-16,1508.3953857421875,1663.2723796359135,1552.0892313644576,154.87699389372597,43.693845622270146
35,2025-07-17,1522.899169921875,1663.6324387927664,1549.3078163734428,140.73326887089138,26.408646451567847
36,2025-07-18,1460.0494384765625,1663.8802206318055,1546.9568564612434,203.830782155243,86.90741798468093
37,2025-07-21,1498.7261962890625,1664.8284831105047,1544.0731796323564,166.10228682144225,45.346983343293914
38,2025-07-22,1518.0645751953125,1665.577269742,1541.4079125187309,147.5126945466875,23.343337323418382
39,2025-07-23,1518.0645751953125,1665.704321646808,1539.1123982600109,147.6397464514955,21.047823064698377
40,2025-07-24,1532.568359375,1666.0086693673697,1536.3077773244406,133.44030999236975,3.7394179494406217
41,2025-07-25,1493.8916015625,1666.4768488298728,1533.433781432895,172.58524726737278,39.5421798703951
42,2025-07-28,1503.560791015625,1667.4666823877917,1530.5723111803547,163.9058913721667,27.011520164729745
43,2025-07-29,1503.560791015625,1668.204742297822,1528.0096833031828,164.6439512821969,24.448892287557783
44,2025-07-30,1479.3878173828125,1668.5852447961802,1525.299304489395,189.19742741336768,45.9114871065824
45,2025-07-31,1653.4334716796875,1668.196068118201,1522.6862112776114,14.762596438513583,-130.7472604020761
46,2025-08-01,1711.4486083984375,1668.95010019164,1520.3770120179342,-42.498508206797396,-191.07159638050325
47,2025-08-04,1701.7794189453125,1669.2049778531448,1517.9395951794875,-32.57444109216772,-183.83982376582503
48,2025-08-05,1740.456298828125,1669.5308085822023,1515.5005611581576,-70.92549024592267,-224.95573766996745
49,2025-08-06,1677.6064453125,1670.9451992964496,1512.9928926621367,-6.661246016050427,-164.61355265036332
50,2025-08-07,1706.614013671875,1671.284687375732,1510.2230136479786,-35.32932629614311,-196.39100002389637
51,2025-08-08,1692.1102294921875,1670.9899124998235,1507.1643734592406,-21.120316992363996,-184.94585603294695
52,2025-08-11,1701.7794189453125,1670.640576860528,1504.30244165362,-31.138842084784528,-197.4769772916925
53,2025-08-12,1730.7869873046875,1671.5307003605792,1501.1442708483914,-59.2562869441083,-229.64271645629606
54,2025-08-13,1725.952392578125,1672.2203832254122,1498.2879972138837,-53.732009352712794,-227.66439536424127
55,2025-08-14,1769.4638671875,1672.2921920281813,1495.8725935823143,-97.17167515931874,-273.59127360518573
56,2025-08-15,1692.1102294921875,1672.7995620461743,1492.916303158695,-19.310667446013213,-199.19392633349253
57,2025-08-19,1769.4638671875,1673.5073587255404,1489.9946949713114,-95.95650846195963,-279.46917221618855
58,2025-08-20,1745.2908935546875,1674.1696999437265,1487.4796226619103,-71.12119361096097,-257.8112708927772
59,2025-08-21,1754.9600830078125,1675.7391168496322,1485.2698512367417,-79.22096615818032,-269.6902317710708
60,2025-08-22,1711.4486083984375,1676.250459780181,1482.9839831484874,-35.19814861825648,-228.46462524995013
61,2025-08-25,1716.283203125,1677.0607905683044,1480.3950987097162,-39.222412556695645,-235.8881044152838
62,2025-08-26,1730.7869873046875,1677.3371790538556,1478.1403872484143,-53.44980825083189,-252.6466000562732
63,2025-08-27,1696.94482421875,1677.8130369161174,1475.428908808774,-19.131787302632574,-221.51591540997606
64,2025-08-28,1692.1102294921875,1678.0082466082808,1472.993999420866,-14.101982883906658,-219.11623007132152
65,2025-08-29,1643.7642822265625,1678.5699673637498,1471.10464225025,34.80568513718731,-172.65963997631252
66,2025-09-01,1643.7642822265625,1679.0981132489994,1468.429185872282,35.333831022436925,-175.3350963542805
67,2025-09-02,1643.7642822265625,1680.657883892983,1466.035998179824,36.89360166642041,-177.7282840467385
68,2025-09-03,1653.4334716796875,1681.3269447321572,1463.614106779298,27.893473052469744,-189.81936490038947
69,2025-09-04,1648.598876953125,1682.4512291286956,1460.7584681139913,33.85235217557056,-187.84040883913372
70,2025-09-08,1638.9296875,1683.293259557195,1458.0267347207498,44.363572057194915,-180.9029527792502
71,2025-09-09,1600.2528076171875,1683.5614804181755,1455.407726627904,83.308672800988,-144.8450809892836
72,2025-09-10,1643.7642822265625,1683.5414462142278,1453.1168567724749,39.77716398766529,-190.64742545408762
73,2025-09-11,1663.1026611328125,1684.1075454965007,1450.478110256436,21.004884363688234,-212.6245508763766
74,2025-09-12,1638.9296875,1684.1324334875494,1447.3994631596677,45.202745987549406,-191.53022434033232
75,2025-09-15,1634.0950927734375,1683.8827107949405,1444.6460337259557,49.78761802150302,-189.4490590474818
76,2025-09-16,1682.4410400390625,1683.6008954997283,1442.164960416569,1.1598554606657672,-240.2760796224934
77,2025-09-17,1677.6064453125,1684.187981975388,1439.6274361556839,6.581536662888084,-237.97900915681612
78,2025-09-18,1653.4334716796875,1684.404361143588,1437.234055321594,30.97088946390045,-216.19941635809346
79,2025-09-19,1658.26806640625,1685.368819383183,1434.9875615890096,27.10075297693311,-223.2805048172404
80,2025-09-22,1658.26806640625,1685.575596308314,1432.3895935796475,27.30752990206406,-225.87847282660255
81,2025-09-23,1716.283203125,1686.0622113091517,1430.0628276537395,-30.220991815848265,-286.22037547126047
82,2025-09-24,1677.6064453125,1686.6674713117752,1427.6121455340433,9.061025999275216,-249.9942997784567
83,2025-09-25,1677.6064453125,1687.2691347423959,1424.554645313552,9.662689429895863,-253.0517999989479
84,2025-09-26,1769.4638671875,1687.4555599846706,1421.895406509698,-82.00830720282943,-347.568460677802
85,2025-09-29,1701.7794189453125,1687.761223096477,1419.7563607205864,-14.018195848835603,-282.0230582247261
86,2025-09-30,1721.1177978515625,1687.623044579107,1417.7248899687568,-33.494753272455455,-303.39290788280573
87,2025-10-01,1721.1177978515625,1688.342938602538,1414.9726619351056,-32.77485924902453,-306.14513591645687
88,2025-10-02,1730.7869873046875,1688.738955580938,1412.631091194734,-42.048031723749546,-318.1558961099536
89,2025-10-03,1774.2984619140625,1688.7516230244853,1410.2439478412987,-85.5468388895772,-364.0545140727638
90,2025-10-06,1798.471435546875,1689.249355684059,1407.6376675276979,-109.22207986281592,-390.8337680191771
91,2025-10-07,1769.4638671875,1689.7092843420342,1404.8765862475295,-79.75458284546585,-364.58728093997047
92,2025-10-08,1793.6368408203125,1690.2422607151914,1402.8700587558596,-103.39458010512112,-390.76678206445285
93,2025-10-09,1851.652099609375,1690.569907346741,1400.601699522974,-161.08219226263395,-451.05040008640094
94,2025-10-10,1837.1483154296875,1691.1816946139402,1397.9992450130294,-145.96662081574732,-439.1490704166581
95,2025-10-13,1788.80224609375,1691.9319977012083,1395.4510334703223,-96.87024839254173,-393.3512126234277
96,2025-10-14,1740.456298828125,1691.9143946953216,1393.5041404818928,-48.54190413280344,-346.9521583462322
97,2025-10-15,1774.2984619140625,1692.630438448796,1391.120261170294,-81.66802346526651,-383.17820074376846
98,2025-10-16,1919.33642578125,1692.5286759518153,1388.4306765542426,-226.80774982943467,-530.9057492270074
99,2025-10-17,1837.1483154296875,1693.2921699327212,1385.906315882435,-143.8561454969663,-451.2419995472526
100,2025-10-20,2011.19384765625,1693.7070809641077,1382.8306624211639,-317.4867666921423,-628.3631852350861
101,2025-10-21,1982.186279296875,1694.6304421224709,1380.4484790852177,-287.55583717440413,-601.7378002116573
102,2025-10-22,2001.524658203125,1694.8791053576667,1378.0702009928805,-306.64555284545827,-623.4544572102445
103,2025-10-23,2185.239501953125,1694.9837251418103,1376.2080452727669,-490.2557768113147,-809.0314566803581
104,2025-10-24,2446.307861328125,1695.9799017918135,1374.0183803042196,-750.3279595363115,-1072.2894810239054
105,2025-10-27,2620.353515625,1696.6220302018035,1371.63059642389,-923.7314854231965,-1248.72291920111
106,2025-10-28,2407.631103515625,1696.9668367730442,1368.8771408544983,-710.6642667425808,-1038.7539626611267
107,2025-10-29,2494.654052734375,1697.075141632036,1366.647626214221,-797.5789111023389,-1128.006426520154
