Step,Down_Movements,Up_Movements,Status,Price_CRR,Probability_CRR,Price_Empirical,Probability_Empirical
0,0,0,"0U,0D",2452.4750967609093,1.0,2452.4750967609093,1.0
1,0,1,"1U,0D",2489.2903992256147,0.5036969362618025,2481.0387307139085,0.5055762081784386
1,1,0,"0U,1D",2416.204273355774,0.49630306373819744,2423.3213097477064,0.4944237918215615
2,0,2,"2U,0D",2526.6583541911987,0.2537106035995263,2509.935041310874,0.2556073022760879
2,1,1,"1U,1D",2452.4750967609093,0.49997266532455237,2451.5453936267054,0.49993781180470154
2,2,0,"0U,2D",2380.469876449821,0.24631673107592142,2394.514088250432,0.24445488591921075
3,0,3,"3U,0D",2564.587257794493,0.12779325373021402,2539.1679031900826,0.1292289706674645
3,1,2,"2U,1D",2489.2903992256147,0.3777520496079367,2480.098199457517,0.37913499482587015
3,2,1,"1U,2D",2416.2042733557746,0.3722069483788916,2422.402658455454,0.3707717228811821
3,3,0,"0U,3D",2345.2639725758168,0.12224774828295744,2366.049312473028,0.12086431162548338
4,0,4,"4U,0D",2603.085530709693,0.06436907037883596,2568.74123611718,0.06533509297685938
4,1,3,"3U,1D",2526.658354191199,0.2536967334055123,2508.983555818672,0.2555755107624207
4,2,2,"2U,2D",2452.4750967609093,0.3749589991076051,2450.6160429315205,0.3749067235081095
4,3,1,"1U,3D",2380.4698764498216,0.24630326510011896,2393.6063574214086,0.2444244815028362
4,4,0,"0U,4D",2310.5787455983555,0.06067193200792777,2337.9229115934927,0.059758191249774315
5,0,5,"5U,0D",2642.1617200178525,0.03242250353984001,2598.6590055107745,0.0330318685682263
5,1,4,"4U,1D",2564.587257794493,0.15973283419497958,2538.2053358796197,0.16151612204316543
5,2,3,"3U,2D",2489.290399225615,0.31477616512382084,2479.1580247449524,0.3159065328197205
5,3,2,"2U,3D",2416.2042733557746,0.31015550005552067,2421.4843554126037,0.308938006360462
5,4,1,"1U,4D",2345.2639725758168,0.15280133134738805,2365.152372290274,0.15106159869831412
5,5,0,"0U,5D",2276.4064949785866,0.030111665738450154,2310.130863181704,0.02954587151011144
