Day,Date,Actual_Price,CRR_Simulation,Empirical_Simulation,CRR_Error,Empirical_Error
0,2025-06-16,2506.5739423254713,2452.47509676116,2452.47509676116,-54.09884556431143,-54.09884556431143
1,2025-06-17,2453.655430959497,2453.390494198415,2453.138129419155,-0.26493676108202635,-0.5173015403420322
2,2025-06-18,2497.3405396907274,2454.095289272726,2452.9642330321944,-43.24525041800143,-44.37630665853294
3,2025-06-19,2498.2234954220335,2455.321469294944,2453.2136516691457,-42.90202612708936,-45.00984375288772
4,2025-06-20,2462.2048959633044,2455.740390726606,2453.149182529969,-6.464505236698187,-9.055713433335313
5,2025-06-23,2479.8270002848776,2456.245008025793,2453.768469476548,-23.581992259084473,-26.05853080832958
6,2025-06-24,2487.740068211606,2456.8117311166693,2453.92035389779,-30.928337094936523,-33.81971431381589
7,2025-06-25,2465.935976882237,2457.569211795076,2454.532475351376,-8.36676508716073,-11.403501530860922
8,2025-06-26,2469.0129943369348,2458.1992245560223,2454.4833565019844,-10.81376978091248,-14.529637834950336
9,2025-06-27,2455.274995398283,2458.1626277990904,2454.308330326324,2.8876324008074334,-0.9666650719591416
10,2025-06-30,2459.9512423648493,2458.3458960255975,2454.396605126599,-1.6053463392518097,-5.554637238250507
11,2025-07-01,2485.002062899209,2458.9986298381737,2454.680813497502,-26.00343306103514,-30.32124940170661
12,2025-07-02,2545.3387414993317,2459.4423094753874,2454.6917759808935,-85.89643202394427,-90.64696551843826
13,2025-07-03,2499.0146381746176,2459.800562603782,2455.500961178373,-39.214075570835575,-43.51367699624461
14,2025-07-04,2580.7808548696944,2460.3466261340486,2455.5167729235404,-120.43422873564577,-125.26408194615396
15,2025-07-07,2506.8091591298785,2460.8431340623138,2455.8000031722454,-45.966025067564715,-51.009155957633084
16,2025-07-08,2501.6084791588764,2462.048203904597,2455.536580985448,-39.56027525427953,-46.07189817342851
17,2025-07-09,2524.2870710164493,2462.1110477632146,2455.282881135749,-62.17602325323469,-69.00418988070032
18,2025-07-10,2535.4561273816494,2462.4159776634297,2454.7217428302943,-73.04014971821971,-80.7343845513551
19,2025-07-11,2512.3864038523534,2462.6217826604047,2454.6094402643225,-49.76462119194866,-57.77696358803087
20,2025-07-14,2505.0563422765395,2462.8530952593337,2454.9971042741986,-42.20324701720574,-50.05923800234086
21,2025-07-15,2487.0971127039334,2463.5686084603235,2455.725162546485,-23.52850424360986,-31.371950157448282
22,2025-07-16,2465.6999950591758,2464.9409816964476,2455.943508890617,-0.759013362728183,-9.756486168558695
23,2025-07-17,2497.82354898243,2465.0794738659324,2456.0763260502335,-32.7440751164977,-41.747222932196564
24,2025-07-18,2511.7381526585623,2465.5598954797288,2455.60223962099,-46.17825717883352,-56.13591303757221
25,2025-07-21,2486.2644438278953,2465.735336871869,2455.982414533474,-20.529106956026226,-30.282029294421136
26,2025-07-22,2520.545531336825,2465.050419242388,2455.6494391631363,-55.49511209443699,-64.89609217368888
27,2025-07-23,2532.697275394146,2465.8620415979835,2455.2597839276364,-66.83523379616236,-77.43749146650953
28,2025-07-24,2564.280117740158,2466.3584441191742,2455.1960770299183,-97.92167362098371,-109.0840407102396
29,2025-07-25,2589.1307872575635,2466.786148635221,2455.290496995005,-122.3446386223427,-133.84029026255848
30,2025-07-28,2557.645965808047,2467.1367585358194,2455.5265758683263,-90.50920727222774,-102.1193899397208
31,2025-07-29,2536.7521335718557,2467.7672829346884,2456.0247370131337,-68.98485063716726,-80.72739655872192
32,2025-07-30,2565.8607036602566,2469.0268727755515,2456.1288463672336,-96.8338308847051,-109.73185729302304
33,2025-07-31,2589.9783932448377,2470.0081145897802,2456.3239223764203,-119.97027865505743,-133.65447086841732
34,2025-08-01,2589.6843854609856,2470.0107697290205,2455.904740041488,-119.67361573196513,-133.77964541949768
35,2025-08-04,2594.7649127899695,2470.472924798513,2456.0247370412276,-124.29198799145661,-138.74017574874188
36,2025-08-05,2645.5021434248742,2470.9800153520214,2455.8094734470633,-174.52212807285287,-189.69266997781097
37,2025-08-06,2622.655417774194,2471.717607824272,2456.0708035120447,-150.9378099499222,-166.58461426214944
38,2025-08-07,2644.7955974101405,2472.0405674507124,2456.9863176196227,-172.75502995942816,-187.80927979051785
39,2025-08-08,2637.3137855526584,2472.918298287453,2457.3053121901894,-164.39548726520525,-180.00847336246898
40,2025-08-11,2629.242220610876,2473.7528016989645,2457.771832355975,-155.48941891191134,-171.47038825490063
41,2025-08-12,2673.470198662638,2474.789605531073,2457.6582792495587,-198.68059313156482,-215.81191941307907
42,2025-08-13,2707.318261774782,2475.11161654109,2457.8994864092283,-232.20664523369214,-249.41877536555376
43,2025-08-14,2741.105258781603,2475.761707795586,2457.853721921151,-265.3435509860169,-283.2515368604518
44,2025-08-15,2795.87020127858,2476.6446697401593,2457.8601891518483,-319.2255315384209,-338.0100121267319
45,2025-08-18,2797.3106064568283,2477.301929818067,2458.1562515037217,-320.00867663876124,-339.1543549531066
46,2025-08-19,2826.637245028429,2477.2983977522636,2458.154248556891,-349.3388472761653,-368.4829964715377
47,2025-08-20,2814.0753949417904,2477.5634087602984,2457.9882508561845,-336.5119861814919,-356.0871440856058
48,2025-08-21,2828.3577600665526,2478.55949945408,2458.1035243798924,-349.7982606124724,-370.2542356866602
49,2025-08-22,2823.4064038682222,2479.1732284737454,2457.756895908042,-344.2331753944768,-365.64950796018
50,2025-08-25,2828.082839120966,2479.757481154672,2458.2082959414292,-348.3253579662942,-369.8745431795369
51,2025-08-26,2854.013917301818,2480.708703359942,2458.3841606803157,-373.305213941876,-395.6297566215021
52,2025-08-27,2819.76369464558,2481.3213016169248,2458.472299747292,-338.44239302865526,-361.2913948982882
53,2025-08-28,2910.24972702735,2481.665185469919,2458.4286058197,-428.5845415574313,-451.8211212076503
54,2025-08-29,2867.2363845064515,2482.751725184901,2458.3938286652187,-384.4846593215507,-408.84255584123275
55,2025-09-01,2816.051719522719,2483.5389093532694,2458.7620557092278,-332.5128101694495,-357.2896638134912
56,2025-09-02,2865.971736024081,2484.831713031087,2458.315009703195,-381.1400229929941,-407.65672632088626
57,2025-09-03,2900.7879527949676,2485.425802006145,2457.93567492925,-415.3621507888224,-442.8522778657175
58,2025-09-04,2928.6577293185233,2486.5033367715796,2458.074663913375,-442.15439254694365,-470.5830654051483
59,2025-09-05,2956.9826926447035,2487.1161380181848,2458.448134311233,-469.8665546265188,-498.5345583334706
60,2025-09-08,2957.030887145742,2487.4485049717396,2458.746951707393,-469.5823821740023,-498.2839354383491
61,2025-09-09,2918.082932419337,2488.0454512831693,2458.4046783395434,-430.03748113616757,-459.67825407979353
62,2025-09-10,2921.987218384775,2488.1676338805346,2458.2081173738297,-433.81958450424054,-463.7791010109454
63,2025-09-11,2893.0361262241395,2488.3883009052706,2458.6582947116704,-404.64782531886885,-434.37783151246913
64,2025-09-12,2936.2501538217043,2488.560096723769,2458.6645392857995,-447.6900570979351,-477.5856145359048
65,2025-09-15,2930.3663479869165,2489.077639728215,2458.5066159752337,-441.28870825870126,-471.8597320116828
66,2025-09-16,2894.8838539998574,2490.0023949575657,2458.7297158449855,-404.8814590422917,-436.1541381548718
67,2025-09-17,2881.5380682790624,2490.6646511800623,2458.2102789593264,-390.8734170990001,-423.327789319736
68,2025-09-18,2900.021569991968,2490.7751856058026,2457.9437862022123,-409.2463843861656,-442.0777837897558
69,2025-09-19,2876.1779342545365,2491.730533598406,2457.5784574635036,-384.4474006561304,-418.5994767910329
70,2025-09-22,2841.491245103176,2492.147878902882,2457.9734837855763,-349.343366200294,-383.5177613175997
71,2025-09-23,2852.4672137980538,2493.01944849604,2457.6124405340724,-359.447765302014,-394.8547732639813
72,2025-09-24,2863.540531854268,2493.623408996545,2457.1736623242346,-369.9171228577229,-406.36686953003345
73,2025-09-25,2842.416753300611,2494.536485292638,2457.319445306947,-347.880268007973,-385.09730799366434
74,2025-09-26,2822.9687662757688,2495.1743886639865,2457.314741903981,-327.79437761178224,-365.6540243717877
